ADT1_YEAST,0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,MIT,mit
ADT2_YEAST,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,MIT,mit
ADT3_YEAST,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,MIT,mit
AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,cyt,cyt
AATM_YEAST,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,MIT,mit
AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT,cyt
ABC1_YEAST,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,MIT,mit
BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0,0.58,0.34,cyt,cyt
ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,MIT,mit
ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,CYT,cyt
ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,cyt,cyt
ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0,0.52,0.29,cyt,cyt
ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,CYT,cyt
ACON_YEAST,0.6,0.4,0.52,0.46,0.5,0,0.53,0.22,MIT,mit
ACR1_YEAST,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,MIT,mit
ACT_YEAST,0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,CYT,cyt
ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,CYT,cyt
ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,cyt,cyt
ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,cyt,cyt
ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0,0.5,0.25,cyt,cyt
C1TC_YEAST,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,CYT,cyt
PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0,0.51,0.22,CYT,cyt
PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0,0.49,0.22,CYT,cyt
ADH1_YEAST,0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,CYT,cyt
ADH2_YEAST,0.46,0.53,0.52,0.15,0.5,0,0.58,0.22,CYT,cyt
ADH3_YEAST,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,MIT,mit
ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,CYT,cyt
KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0,0.51,0.22,CYT,cyt
KAD2_YEAST,0.63,0.67,0.57,0.24,0.5,0,0.49,0.22,MIT,mit
ADP1_YEAST,0.8,0.88,0.36,0.39,0.5,0,0.56,0.33,cyt,cyt
ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,cyt,cyt
AFG3_YEAST,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,MIT,mit
AFR1_YEAST,0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,CYT,cyt
RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0,0.51,0.22,cyt,cyt
AGA1_YEAST,0.78,0.74,0.42,0.26,0.5,0,0.43,0.22,cyt,cyt
AGA2_YEAST,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,cyt,cyt
YMX1_YEAST,0.72,0.61,0.45,0.3,0.5,0,0.54,0.25,MIT,mit
SYAC_YEAST,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,CYT,cyt
DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0,0.5,0.22,MIT,mit
DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0,0.53,0.22,MIT,mit
ALG1_YEAST,0.86,0.68,0.39,0.24,0.5,0,0.54,0.22,cyt,cyt
ALG5_YEAST,0.86,0.74,0.51,0.4,0.5,0,0.55,0.22,cyt,cyt
GPT_YEAST,0.79,0.57,0.41,0.28,0.5,0,0.59,0.22,cyt,cyt
ALG8_YEAST,0.41,0.54,0.39,0.2,0.5,0,0.51,0.22,cyt,cyt
MAN1_YEAST,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,cyt,cyt
ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0,0.47,0.37,cyt,cyt
ANP1_YEAST,0.74,0.75,0.58,0.47,0.5,0,0.4,0.35,cyt,cyt
APE2_YEAST,0.49,0.39,0.52,0.29,0.5,0,0.48,0.22,cyt,cyt
APE3_YEAST,0.74,0.57,0.51,0.28,0.5,0,0.58,0.22,cyt,cyt
ALP1_YEAST,0.42,0.24,0.34,0.16,0.5,0,0.5,0.22,cyt,cyt
ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0,0.52,0.28,CYT,cyt
YHB9_YEAST,0.41,0.53,0.45,0.14,0.5,0,0.52,0.66,cyt,cyt
APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,cyt,cyt
ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,CYT,cyt
ARF1_YEAST,0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,CYT,cyt
ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,CYT,cyt
ASSY_YEAST,0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,CYT,cyt
OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,CYT,cyt
ARLY_YEAST,0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,CYT,cyt
AR56_YEAST,0.45,0.58,0.48,0.67,0.5,0,0.52,0.22,MIT,mit
ARGD_YEAST,0.43,0.35,0.52,0.52,0.5,0,0.54,0.22,MIT,mit
ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0,0.45,0.25,cyt,cyt
ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0,0.52,0.43,cyt,cyt
